canonicalCommunity,canonicalPlaceId,membershipCountyIds,membershipCount,crossingAuthorityAvailable,crossingAuthorityReason,canonicalCrossingIdentityCount,resolvedCrossingRecordCount,crossingCountyIds,unresolvedCrossingIds,duplicateCrossingIds,missingCrossingMemberships,crossingAuthorityState,crossingIdentityParityPass,crossingMembershipParityPass,crossingAuthorityPass
Camargito,4812010,starr-tx,1,true,,1,1,starr-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Cameron,4812040,milam-tx,1,true,,17,17,milam-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Cameron Park,4812045,cameron-tx,1,true,,0,0,cameron-tx,,,,AVAILABLE_EMPTY,true,true,true
Campbell,4812112,hunt-tx,1,true,,6,6,hunt-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Campo Verde,4812226,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
Camp Swift,4812334,bastrop-tx,1,true,,0,0,bastrop-tx,,,,AVAILABLE_EMPTY,true,true,true
Camp Wood,4812388,real-tx,1,true,,0,0,real-tx,,,,AVAILABLE_EMPTY,true,true,true
Canadian,4812412,hemphill-tx,1,true,,1,1,hemphill-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Caney City,4812472,henderson-tx,1,true,,0,0,henderson-tx,,,,AVAILABLE_EMPTY,true,true,true
Canton,4812496,van-zandt-tx,1,true,,0,0,van-zandt-tx,,,,AVAILABLE_EMPTY,true,true,true
Cantu Addition,4812502,brooks-tx,1,true,,0,0,brooks-tx,,,,AVAILABLE_EMPTY,true,true,true
Canutillo,4812508,el-paso-tx,1,true,,8,8,el-paso-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Canyon,4812532,randall-tx,1,true,,5,5,randall-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Canyon Creek,4812562,hood-tx,1,true,,0,0,hood-tx,,,,AVAILABLE_EMPTY,true,true,true
Canyon Lake,4812580,comal-tx,1,true,,0,0,comal-tx,,,,AVAILABLE_EMPTY,true,true,true
Cape Royale,4812600,san-jacinto-tx,1,true,,0,0,san-jacinto-tx,,,,AVAILABLE_EMPTY,true,true,true
Carbon,4812736,eastland-tx,1,true,,0,0,eastland-tx,,,,AVAILABLE_EMPTY,true,true,true
Carlsbad,4812892,tom-green-tx,1,true,,0,0,tom-green-tx,,,,AVAILABLE_EMPTY,true,true,true
Carl's Corner,4812895,hill-tx,1,true,,0,0,hill-tx,,,,AVAILABLE_EMPTY,true,true,true
Carlton,4812904,hamilton-tx,1,true,,0,0,hamilton-tx,,,,AVAILABLE_EMPTY,true,true,true
Carmine,4812916,fayette-tx,1,true,,0,0,fayette-tx,,,,AVAILABLE_EMPTY,true,true,true
Carrizo Hill,4812982,dimmit-tx,1,true,,0,0,dimmit-tx,,,,AVAILABLE_EMPTY,true,true,true
Carrizo Springs,4812988,dimmit-tx,1,true,,0,0,dimmit-tx,,,,AVAILABLE_EMPTY,true,true,true
Carrollton,4813024,collin-tx|dallas-tx|denton-tx,3,true,,72,72,collin-tx|dallas-tx|denton-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Carter,4813075,parker-tx,1,true,,0,0,parker-tx,,,,AVAILABLE_EMPTY,true,true,true
Carthage,4813108,panola-tx,1,true,,10,10,panola-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Casa Blanca,4813128,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
Casas,4813150,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
Cashion Community,4813198,wichita-tx,1,true,,0,0,wichita-tx,,,,AVAILABLE_EMPTY,true,true,true
Castle Hills,4813276,bexar-tx,1,true,,0,0,bexar-tx,,,,AVAILABLE_EMPTY,true,true,true
Castroville,4813312,medina-tx,1,true,,0,0,medina-tx,,,,AVAILABLE_EMPTY,true,true,true
Catarina,4813324,dimmit-tx,1,true,,0,0,dimmit-tx,,,,AVAILABLE_EMPTY,true,true,true
Cedar Creek,4813432,bastrop-tx,1,true,,0,0,bastrop-tx,,,,AVAILABLE_EMPTY,true,true,true
Cedar Hill,4813492,dallas-tx|ellis-tx,2,true,,10,10,dallas-tx|ellis-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Cedar Park,4813552,travis-tx|williamson-tx,2,true,,13,13,travis-tx|williamson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Cedar Point,4813570,polk-tx,1,true,,0,0,polk-tx,,,,AVAILABLE_EMPTY,true,true,true
Celeste,4813672,hunt-tx,1,true,,6,6,hunt-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Celina,4813684,collin-tx|denton-tx,2,true,,10,10,collin-tx|denton-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Center,4813732,shelby-tx,1,true,,8,8,shelby-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Center Point,4813828,kerr-tx,1,true,,0,0,kerr-tx,,,,AVAILABLE_EMPTY,true,true,true
Centerville,4813900,leon-tx,1,true,,0,0,leon-tx,,,,AVAILABLE_EMPTY,true,true,true
Central Gardens,4813972,jefferson-tx,1,true,,7,7,jefferson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
CÃ©sar ChÃ¡vez,4814038,hidalgo-tx,1,true,,0,0,hidalgo-tx,,,,AVAILABLE_EMPTY,true,true,true
Chandler,4814224,henderson-tx,1,true,,4,4,henderson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Channelview,4814236,harris-tx,1,true,,12,12,harris-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Channing,4814260,hartley-tx,1,true,,2,2,hartley-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Chaparrito,4814266,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
Chapeno,4814290,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
Charlotte,4814404,atascosa-tx,1,true,,0,0,atascosa-tx,,,,AVAILABLE_EMPTY,true,true,true
Chester,4814584,tyler-tx,1,true,,0,0,tyler-tx,,,,AVAILABLE_EMPTY,true,true,true
Chico,4814620,wise-tx,1,true,,3,3,wise-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Childress,4814668,childress-tx,1,true,,4,4,childress-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Chillicothe,4814680,hardeman-tx,1,true,,3,3,hardeman-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Chilton,4814692,falls-tx,1,true,,0,0,falls-tx,,,,AVAILABLE_EMPTY,true,true,true
China,4814704,jefferson-tx,1,true,,3,3,jefferson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
China Grove,4814716,bexar-tx,1,true,,0,0,bexar-tx,,,,AVAILABLE_EMPTY,true,true,true
China Spring,4814740,mclennan-tx,1,true,,0,0,mclennan-tx,,,,AVAILABLE_EMPTY,true,true,true
Chireno,4814776,nacogdoches-tx,1,true,,0,0,nacogdoches-tx,,,,AVAILABLE_EMPTY,true,true,true
Christine,4814860,atascosa-tx,1,true,,0,0,atascosa-tx,,,,AVAILABLE_EMPTY,true,true,true
Christoval,4814872,tom-green-tx,1,true,,0,0,tom-green-tx,,,,AVAILABLE_EMPTY,true,true,true
Chula Vista,4814880,cameron-tx,1,true,,0,0,cameron-tx,,,,AVAILABLE_EMPTY,true,true,true
Chula Vista,4814881,maverick-tx,1,true,,0,0,maverick-tx,,,,AVAILABLE_EMPTY,true,true,true
Chula Vista,4814882,zavala-tx,1,true,,0,0,zavala-tx,,,,AVAILABLE_EMPTY,true,true,true
Cibolo,4814920,bexar-tx|guadalupe-tx,2,true,,4,4,bexar-tx|guadalupe-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Cienegas Terrace,4814927,val-verde-tx,1,true,,0,0,val-verde-tx,,,,AVAILABLE_EMPTY,true,true,true
Cinco Ranch,4814929,fort-bend-tx|harris-tx,2,true,,0,0,fort-bend-tx|harris-tx,,,,AVAILABLE_EMPTY,true,true,true
Circle D-KC Estates,4814986,bastrop-tx,1,true,,0,0,bastrop-tx,,,,AVAILABLE_EMPTY,true,true,true
Cisco,4815004,eastland-tx,1,true,,2,2,eastland-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Citrus City,4815028,hidalgo-tx,1,true,,0,0,hidalgo-tx,,,,AVAILABLE_EMPTY,true,true,true
Clarendon,4815112,donley-tx,1,true,,3,3,donley-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Clarksville,4815160,red-river-tx,1,true,,0,0,red-river-tx,,,,AVAILABLE_EMPTY,true,true,true
Clarksville City,4815172,gregg-tx|upshur-tx,2,true,,1,1,gregg-tx|upshur-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Claude,4815196,armstrong-tx,1,true,,3,3,armstrong-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Clay,4815232,burleson-tx,1,true,,2,2,burleson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Clear Lake Shores,4815328,galveston-tx,1,true,,0,0,galveston-tx,,,,AVAILABLE_EMPTY,true,true,true
Cleburne,4815364,johnson-tx,1,true,,42,42,johnson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Cleveland,4815436,liberty-tx|montgomery-tx|san-jacinto-tx,3,true,,21,21,liberty-tx|montgomery-tx|san-jacinto-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Clifton,4815472,bosque-tx,1,true,,2,2,bosque-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Clint,4815544,el-paso-tx,1,true,,3,3,el-paso-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Cloverleaf,4815628,harris-tx,1,true,,1,1,harris-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Clute,4815652,brazoria-tx,1,true,,6,6,brazoria-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Clyde,4815676,callahan-tx,1,true,,5,5,callahan-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Coahoma,4815700,howard-tx,1,true,,2,2,howard-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Cockrell Hill,4815796,dallas-tx,1,true,,0,0,dallas-tx,,,,AVAILABLE_EMPTY,true,true,true
Coffee City,4815820,henderson-tx,1,true,,0,0,henderson-tx,,,,AVAILABLE_EMPTY,true,true,true
Coldspring,4815892,san-jacinto-tx,1,true,,0,0,san-jacinto-tx,,,,AVAILABLE_EMPTY,true,true,true
Coleman,4815916,coleman-tx,1,true,,8,8,coleman-tx,,,,AVAILABLE_NONEMPTY,true,true,true
College Station,4815976,brazos-tx,1,true,,15,15,brazos-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Colleyville,4815988,tarrant-tx,1,true,,3,3,tarrant-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Collinsville,4816036,grayson-tx,1,true,,4,4,grayson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Colmesneil,4816048,tyler-tx,1,true,,0,0,tyler-tx,,,,AVAILABLE_EMPTY,true,true,true
Colorado Acres,4816110,webb-tx,1,true,,0,0,webb-tx,,,,AVAILABLE_EMPTY,true,true,true
Colorado City,4816120,mitchell-tx,1,true,,4,4,mitchell-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Columbus,4816168,colorado-tx,1,true,,10,10,colorado-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Comanche,4816192,comanche-tx,1,true,,11,11,comanche-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Combes,4816204,cameron-tx,1,true,,5,5,cameron-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Combine,4816216,dallas-tx|kaufman-tx,2,true,,0,0,dallas-tx|kaufman-tx,,,,AVAILABLE_EMPTY,true,true,true
Comfort,4816228,kendall-tx,1,true,,0,0,kendall-tx,,,,AVAILABLE_EMPTY,true,true,true
Commerce,4816240,hunt-tx,1,true,,13,13,hunt-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Como,4816252,hopkins-tx,1,true,,7,7,hopkins-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Concepcion,4816300,duval-tx,1,true,,0,0,duval-tx,,,,AVAILABLE_EMPTY,true,true,true
Conroe,4816432,montgomery-tx,1,true,,38,38,montgomery-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Converse,4816468,bexar-tx,1,true,,4,4,bexar-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Cool,4816540,parker-tx,1,true,,0,0,parker-tx,,,,AVAILABLE_EMPTY,true,true,true
Coolidge,4816552,limestone-tx,1,true,,0,0,limestone-tx,,,,AVAILABLE_EMPTY,true,true,true
Cooper,4816564,delta-tx,1,true,,0,0,delta-tx,,,,AVAILABLE_EMPTY,true,true,true
Coppell,4816612,dallas-tx|denton-tx,2,true,,11,11,dallas-tx|denton-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Copperas Cove,4816624,bell-tx|coryell-tx|lampasas-tx,3,true,,7,7,bell-tx|coryell-tx|lampasas-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Copper Canyon,4816636,denton-tx,1,true,,4,4,denton-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Corinth,4816696,denton-tx,1,true,,7,7,denton-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Corpus Christi,4817000,aransas-tx|kleberg-tx|nueces-tx|san-patricio-tx,4,true,,59,59,aransas-tx|kleberg-tx|nueces-tx|san-patricio-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Corral City,4817021,denton-tx,1,true,,0,0,denton-tx,,,,AVAILABLE_EMPTY,true,true,true
Corrigan,4817036,polk-tx,1,true,,5,5,polk-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Corsicana,4817060,navarro-tx,1,true,,51,51,navarro-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Cottonwood,4817200,kaufman-tx,1,true,,0,0,kaufman-tx,,,,AVAILABLE_EMPTY,true,true,true
Cottonwood Shores,4817208,burnet-tx,1,true,,0,0,burnet-tx,,,,AVAILABLE_EMPTY,true,true,true
Cotulla,4817216,la-salle-tx,1,true,,5,5,la-salle-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Coupland,4817312,williamson-tx,1,true,,4,4,williamson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Cove,4817336,chambers-tx,1,true,,0,0,chambers-tx,,,,AVAILABLE_EMPTY,true,true,true
Covington,4817372,hill-tx,1,true,,0,0,hill-tx,,,,AVAILABLE_EMPTY,true,true,true
Coyanosa,4817408,pecos-tx,1,true,,0,0,pecos-tx,,,,AVAILABLE_EMPTY,true,true,true
Coyote Acres,4817426,jim-wells-tx,1,true,,0,0,jim-wells-tx,,,,AVAILABLE_EMPTY,true,true,true
Coyote Flats,4817429,johnson-tx,1,true,,0,0,johnson-tx,,,,AVAILABLE_EMPTY,true,true,true
Crandall,4817504,kaufman-tx,1,true,,0,0,kaufman-tx,,,,AVAILABLE_EMPTY,true,true,true
Crane,4817516,crane-tx,1,true,,0,0,crane-tx,,,,AVAILABLE_EMPTY,true,true,true
Cranfills Gap,4817540,bosque-tx,1,true,,0,0,bosque-tx,,,,AVAILABLE_EMPTY,true,true,true
Crawford,4817564,mclennan-tx,1,true,,6,6,mclennan-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Creedmoor,4817612,hays-tx|travis-tx,2,true,,0,0,hays-tx|travis-tx,,,,AVAILABLE_EMPTY,true,true,true
Cresson,4817648,hood-tx|johnson-tx|parker-tx,3,true,,3,3,hood-tx|johnson-tx|parker-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Crockett,4817744,houston-tx,1,true,,7,7,houston-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Crosby,4817756,harris-tx,1,true,,6,6,harris-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Crosbyton,4817768,crosby-tx,1,true,,0,0,crosby-tx,,,,AVAILABLE_EMPTY,true,true,true
Cross Mountain,4817811,bexar-tx,1,true,,0,0,bexar-tx,,,,AVAILABLE_EMPTY,true,true,true
Cross Plains,4817816,callahan-tx,1,true,,0,0,callahan-tx,,,,AVAILABLE_EMPTY,true,true,true
Cross Roads,4817852,denton-tx,1,true,,0,0,denton-tx,,,,AVAILABLE_EMPTY,true,true,true
Cross Timber,4817917,johnson-tx,1,true,,2,2,johnson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Crowell,4817948,foard-tx,1,true,,0,0,foard-tx,,,,AVAILABLE_EMPTY,true,true,true
Crowley,4817960,johnson-tx|tarrant-tx,2,true,,5,5,johnson-tx|tarrant-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Crystal City,4818020,zavala-tx,1,true,,0,0,zavala-tx,,,,AVAILABLE_EMPTY,true,true,true
Cuero,4818092,dewitt-tx,1,true,,12,12,dewitt-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Cuevitas,4818104,hidalgo-tx,1,true,,4,4,hidalgo-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Cumby,4818128,hopkins-tx,1,true,,4,4,hopkins-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Cumings,4818134,fort-bend-tx,1,true,,0,0,fort-bend-tx,,,,AVAILABLE_EMPTY,true,true,true
Cuney,4818152,cherokee-tx,1,true,,0,0,cherokee-tx,,,,AVAILABLE_EMPTY,true,true,true
Cushing,4818224,nacogdoches-tx,1,true,,0,0,nacogdoches-tx,,,,AVAILABLE_EMPTY,true,true,true
Cut and Shoot,4818260,montgomery-tx,1,true,,0,0,montgomery-tx,,,,AVAILABLE_EMPTY,true,true,true
Daingerfield,4818464,morris-tx,1,true,,3,3,morris-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Daisetta,4818476,liberty-tx,1,true,,0,0,liberty-tx,,,,AVAILABLE_EMPTY,true,true,true
Dalhart,4818524,dallam-tx|hartley-tx,2,true,,10,10,dallam-tx|hartley-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Dallas,4819000,collin-tx|dallas-tx|denton-tx|kaufman-tx|rockwall-tx,5,true,,415,415,collin-tx|dallas-tx|denton-tx|kaufman-tx|rockwall-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Dalworthington Gardens,4819084,tarrant-tx,1,true,,0,0,tarrant-tx,,,,AVAILABLE_EMPTY,true,true,true
Damon,4819108,brazoria-tx,1,true,,0,0,brazoria-tx,,,,AVAILABLE_EMPTY,true,true,true
Danbury,4819120,brazoria-tx,1,true,,3,3,brazoria-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Darrouzett,4819288,lipscomb-tx,1,true,,1,1,lipscomb-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Dawson,4819420,navarro-tx,1,true,,0,0,navarro-tx,,,,AVAILABLE_EMPTY,true,true,true
Dayton,4819432,liberty-tx,1,true,,21,21,liberty-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Dayton Lakes,4819435,liberty-tx,1,true,,0,0,liberty-tx,,,,AVAILABLE_EMPTY,true,true,true
Dean,4819456,clay-tx,1,true,,0,0,clay-tx,,,,AVAILABLE_EMPTY,true,true,true
Deanville,4819492,burleson-tx,1,true,,0,0,burleson-tx,,,,AVAILABLE_EMPTY,true,true,true
Decatur,4819528,wise-tx,1,true,,7,7,wise-tx,,,,AVAILABLE_NONEMPTY,true,true,true
DeCordova,4819570,hood-tx,1,true,,0,0,hood-tx,,,,AVAILABLE_EMPTY,true,true,true
Deer Park,4819624,harris-tx,1,true,,22,22,harris-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Deerwood,4819632,montgomery-tx,1,true,,0,0,montgomery-tx,,,,AVAILABLE_EMPTY,true,true,true
De Kalb,4819648,bowie-tx,1,true,,0,0,bowie-tx,,,,AVAILABLE_EMPTY,true,true,true
De Leon,4819672,comanche-tx,1,true,,5,5,comanche-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Dell City,4819708,hudspeth-tx,1,true,,0,0,hudspeth-tx,,,,AVAILABLE_EMPTY,true,true,true
Del Mar Heights,4819714,cameron-tx,1,true,,0,0,cameron-tx,,,,AVAILABLE_EMPTY,true,true,true
Delmita,4819732,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
Del Rio,4819792,val-verde-tx,1,true,,9,9,val-verde-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Del Sol,4819808,san-patricio-tx,1,true,,2,2,san-patricio-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Denison,4819900,grayson-tx,1,true,,38,38,grayson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Dennis,4819924,parker-tx,1,true,,0,0,parker-tx,,,,AVAILABLE_EMPTY,true,true,true
Denton,4819972,denton-tx,1,true,,61,61,denton-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Denver City,4819984,gaines-tx|yoakum-tx,2,true,,0,0,gaines-tx|yoakum-tx,,,,AVAILABLE_EMPTY,true,true,true
Deport,4820020,lamar-tx|red-river-tx,2,true,,0,0,lamar-tx|red-river-tx,,,,AVAILABLE_EMPTY,true,true,true
DeSoto,4820092,dallas-tx,1,true,,0,0,dallas-tx,,,,AVAILABLE_EMPTY,true,true,true
Detroit,4820128,red-river-tx,1,true,,0,0,red-river-tx,,,,AVAILABLE_EMPTY,true,true,true
Devers,4820140,liberty-tx,1,true,,1,1,liberty-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Devine,4820152,medina-tx,1,true,,4,4,medina-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Deweyville,4820212,newton-tx,1,true,,1,1,newton-tx,,,,AVAILABLE_NONEMPTY,true,true,true
D'Hanis,4820248,medina-tx,1,true,,3,3,medina-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Diboll,4820308,angelina-tx,1,true,,18,18,angelina-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Dickens,4820332,dickens-tx,1,true,,0,0,dickens-tx,,,,AVAILABLE_EMPTY,true,true,true
Dickinson,4820344,galveston-tx,1,true,,5,5,galveston-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Dilley,4820428,frio-tx,1,true,,5,5,frio-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Dime Box,4820452,lee-tx,1,true,,1,1,lee-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Dimmitt,4820464,castro-tx,1,true,,3,3,castro-tx,,,,AVAILABLE_NONEMPTY,true,true,true
DISH,4820540,denton-tx,1,true,,0,0,denton-tx,,,,AVAILABLE_EMPTY,true,true,true
Dodd City,4820680,fannin-tx,1,true,,4,4,fannin-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Dodson,4820716,collingsworth-tx,1,true,,0,0,collingsworth-tx,,,,AVAILABLE_EMPTY,true,true,true
Doffing,4820734,hidalgo-tx,1,true,,0,0,hidalgo-tx,,,,AVAILABLE_EMPTY,true,true,true
Domino,4820848,cass-tx,1,true,,1,1,cass-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Donna,4820884,hidalgo-tx,1,true,,16,16,hidalgo-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Doolittle,4820926,hidalgo-tx,1,true,,0,0,hidalgo-tx,,,,AVAILABLE_EMPTY,true,true,true
Dorchester,4820932,grayson-tx,1,true,,3,3,grayson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Double Oak,4821028,denton-tx,1,true,,0,0,denton-tx,,,,AVAILABLE_EMPTY,true,true,true
Double Horn,4821031,burnet-tx,1,true,,0,0,burnet-tx,,,,AVAILABLE_EMPTY,true,true,true
Douglassville,4821112,cass-tx,1,true,,0,0,cass-tx,,,,AVAILABLE_EMPTY,true,true,true
Driftwood,4821412,hays-tx,1,true,,0,0,hays-tx,,,,AVAILABLE_EMPTY,true,true,true
Dripping Springs,4821424,hays-tx,1,true,,0,0,hays-tx,,,,AVAILABLE_EMPTY,true,true,true
Driscoll,4821436,nueces-tx,1,true,,4,4,nueces-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Dublin,4821484,erath-tx,1,true,,11,11,erath-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Dumas,4821556,moore-tx,1,true,,3,3,moore-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Duncanville,4821628,dallas-tx,1,true,,12,12,dallas-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Eagle Lake,4821844,colorado-tx,1,true,,17,17,colorado-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Eagle Pass,4821892,maverick-tx,1,true,,13,13,maverick-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Early,4821904,brown-tx,1,true,,0,0,brown-tx,,,,AVAILABLE_EMPTY,true,true,true
Earth,4821928,lamb-tx,1,true,,0,0,lamb-tx,,,,AVAILABLE_EMPTY,true,true,true
East Alto Bonito,4821958,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
East Bernard,4821988,wharton-tx,1,true,,4,4,wharton-tx,,,,AVAILABLE_NONEMPTY,true,true,true
East Columbia,4822000,brazoria-tx,1,true,,0,0,brazoria-tx,,,,AVAILABLE_EMPTY,true,true,true
Eastland,4822132,eastland-tx,1,true,,2,2,eastland-tx,,,,AVAILABLE_NONEMPTY,true,true,true
East Mountain,4822168,gregg-tx|upshur-tx,2,true,,0,0,gregg-tx|upshur-tx,,,,AVAILABLE_EMPTY,true,true,true
Easton,4822192,gregg-tx|rusk-tx,2,true,,4,4,gregg-tx|rusk-tx,,,,AVAILABLE_NONEMPTY,true,true,true
East Tawakoni,4822276,rains-tx,1,true,,0,0,rains-tx,,,,AVAILABLE_EMPTY,true,true,true
Ector,4822516,fannin-tx,1,true,,6,6,fannin-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Edcouch,4822528,hidalgo-tx,1,true,,0,0,hidalgo-tx,,,,AVAILABLE_EMPTY,true,true,true
Eden,4822552,concho-tx,1,true,,0,0,concho-tx,,,,AVAILABLE_EMPTY,true,true,true
Edgecliff Village,4822588,tarrant-tx,1,true,,1,1,tarrant-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Edgewater Estates,4822593,san-patricio-tx,1,true,,0,0,san-patricio-tx,,,,AVAILABLE_EMPTY,true,true,true
Edgewood,4822612,van-zandt-tx,1,true,,2,2,van-zandt-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Edinburg,4822660,hidalgo-tx,1,true,,17,17,hidalgo-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Edmonson,4822708,hale-tx,1,true,,3,3,hale-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Edna,4822720,jackson-tx,1,true,,6,6,jackson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Edom,4822744,van-zandt-tx,1,true,,0,0,van-zandt-tx,,,,AVAILABLE_EMPTY,true,true,true
Edroy,4822768,san-patricio-tx,1,true,,2,2,san-patricio-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Eidson Road,4822810,maverick-tx,1,true,,0,0,maverick-tx,,,,AVAILABLE_EMPTY,true,true,true
Elbert,4822840,throckmorton-tx,1,true,,0,0,throckmorton-tx,,,,AVAILABLE_EMPTY,true,true,true
El Brazil,4822853,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
El Camino Angosto,4822858,cameron-tx,1,true,,0,0,cameron-tx,,,,AVAILABLE_EMPTY,true,true,true
El Campo,4822864,wharton-tx,1,true,,15,15,wharton-tx,,,,AVAILABLE_NONEMPTY,true,true,true
El Castillo,4822892,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
El Cenizo,4822898,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
El Cenizo,4822905,webb-tx,1,true,,0,0,webb-tx,,,,AVAILABLE_EMPTY,true,true,true
