canonicalCommunity,canonicalPlaceId,membershipAuthorityAvailable,membershipAuthorityReason,membershipApplicability,membershipCount,membershipCountyFips,membershipCountyIds,membershipCountyNames,unresolvedCountyFips,duplicateCountyFips,duplicateCountyIds,operationalProjectionMembershipCount,operationalProjectionCountyIds,operationalProjectionThinnerThanRegistry,crossingCanonicalPlaceAvailable,officialRoadwayConsumerAvailable,weatherConsumerAvailable,membershipAuthorityPass
Coolidge,4816552,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48293,limestone-tx,Limestone County,,,,1,limestone-tx,false,true,true,true,true
Cooper,4816564,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48119,delta-tx,Delta County,,,,1,delta-tx,false,true,true,true,true
Coppell,4816612,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,2,48113|48121,dallas-tx|denton-tx,Dallas County|Denton County,,,,2,dallas-tx|denton-tx,false,true,true,true,true
Copperas Cove,4816624,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,3,48027|48099|48281,bell-tx|coryell-tx|lampasas-tx,Bell County|Coryell County|Lampasas County,,,,3,bell-tx|coryell-tx|lampasas-tx,false,true,true,true,true
Copper Canyon,4816636,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48121,denton-tx,Denton County,,,,1,denton-tx,false,true,true,true,true
Corinth,4816696,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48121,denton-tx,Denton County,,,,1,denton-tx,false,true,true,true,true
Corpus Christi,4817000,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,4,48007|48273|48355|48409,aransas-tx|kleberg-tx|nueces-tx|san-patricio-tx,Aransas County|Kleberg County|Nueces County|San Patricio County,,,,4,aransas-tx|kleberg-tx|nueces-tx|san-patricio-tx,false,true,true,true,true
Corral City,4817021,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48121,denton-tx,Denton County,,,,1,denton-tx,false,true,true,true,true
Corrigan,4817036,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48373,polk-tx,Polk County,,,,1,polk-tx,false,true,true,true,true
Corsicana,4817060,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48349,navarro-tx,Navarro County,,,,1,navarro-tx,false,true,true,true,true
Cottonwood,4817200,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48257,kaufman-tx,Kaufman County,,,,1,kaufman-tx,false,true,true,true,true
Cottonwood Shores,4817208,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48053,burnet-tx,Burnet County,,,,1,burnet-tx,false,true,true,true,true
Cotulla,4817216,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48283,la-salle-tx,La Salle County,,,,1,la-salle-tx,false,true,true,true,true
Coupland,4817312,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48491,williamson-tx,Williamson County,,,,1,williamson-tx,false,true,true,true,true
Cove,4817336,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48071,chambers-tx,Chambers County,,,,1,chambers-tx,false,true,true,true,true
Covington,4817372,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48217,hill-tx,Hill County,,,,1,hill-tx,false,true,true,true,true
Coyanosa,4817408,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48371,pecos-tx,Pecos County,,,,1,pecos-tx,false,true,true,true,true
Coyote Acres,4817426,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48249,jim-wells-tx,Jim Wells County,,,,1,jim-wells-tx,false,true,true,true,true
Coyote Flats,4817429,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48251,johnson-tx,Johnson County,,,,1,johnson-tx,false,true,true,true,true
Crandall,4817504,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48257,kaufman-tx,Kaufman County,,,,1,kaufman-tx,false,true,true,true,true
Crane,4817516,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48103,crane-tx,Crane County,,,,1,crane-tx,false,true,true,true,true
Cranfills Gap,4817540,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48035,bosque-tx,Bosque County,,,,1,bosque-tx,false,true,true,true,true
Crawford,4817564,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48309,mclennan-tx,McLennan County,,,,1,mclennan-tx,false,true,true,true,true
Creedmoor,4817612,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,2,48209|48453,hays-tx|travis-tx,Hays County|Travis County,,,,2,hays-tx|travis-tx,false,true,true,true,true
Cresson,4817648,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,3,48221|48251|48367,hood-tx|johnson-tx|parker-tx,Hood County|Johnson County|Parker County,,,,3,hood-tx|johnson-tx|parker-tx,false,true,true,true,true
Crockett,4817744,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48225,houston-tx,Houston County,,,,1,houston-tx,false,true,true,true,true
Crosby,4817756,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48201,harris-tx,Harris County,,,,1,harris-tx,false,true,true,true,true
Crosbyton,4817768,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48107,crosby-tx,Crosby County,,,,1,crosby-tx,false,true,true,true,true
Cross Mountain,4817811,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48029,bexar-tx,Bexar County,,,,1,bexar-tx,false,true,true,true,true
Cross Plains,4817816,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48059,callahan-tx,Callahan County,,,,1,callahan-tx,false,true,true,true,true
Cross Roads,4817852,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48121,denton-tx,Denton County,,,,1,denton-tx,false,true,true,true,true
Cross Timber,4817917,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48251,johnson-tx,Johnson County,,,,1,johnson-tx,false,true,true,true,true
Crowell,4817948,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48155,foard-tx,Foard County,,,,1,foard-tx,false,true,true,true,true
Crowley,4817960,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,2,48251|48439,johnson-tx|tarrant-tx,Johnson County|Tarrant County,,,,2,johnson-tx|tarrant-tx,false,true,true,true,true
Crystal City,4818020,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48507,zavala-tx,Zavala County,,,,1,zavala-tx,false,true,true,true,true
Cuero,4818092,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48123,dewitt-tx,DeWitt County,,,,1,dewitt-tx,false,true,true,true,true
Cuevitas,4818104,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48215,hidalgo-tx,Hidalgo County,,,,1,hidalgo-tx,false,true,true,true,true
Cumby,4818128,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48223,hopkins-tx,Hopkins County,,,,1,hopkins-tx,false,true,true,true,true
Cumings,4818134,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48157,fort-bend-tx,Fort Bend County,,,,1,fort-bend-tx,false,true,true,true,true
Cuney,4818152,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48073,cherokee-tx,Cherokee County,,,,1,cherokee-tx,false,true,true,true,true
Cushing,4818224,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48347,nacogdoches-tx,Nacogdoches County,,,,1,nacogdoches-tx,false,true,true,true,true
Cut and Shoot,4818260,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48339,montgomery-tx,Montgomery County,,,,1,montgomery-tx,false,true,true,true,true
Daingerfield,4818464,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48343,morris-tx,Morris County,,,,1,morris-tx,false,true,true,true,true
Daisetta,4818476,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48291,liberty-tx,Liberty County,,,,1,liberty-tx,false,true,true,true,true
Dalhart,4818524,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,2,48111|48205,dallam-tx|hartley-tx,Dallam County|Hartley County,,,,2,dallam-tx|hartley-tx,false,true,true,true,true
Dallas,4819000,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,5,48085|48113|48121|48257|48397,collin-tx|dallas-tx|denton-tx|kaufman-tx|rockwall-tx,Collin County|Dallas County|Denton County|Kaufman County|Rockwall County,,,,5,collin-tx|dallas-tx|denton-tx|kaufman-tx|rockwall-tx,false,true,true,true,true
Dalworthington Gardens,4819084,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48439,tarrant-tx,Tarrant County,,,,1,tarrant-tx,false,true,true,true,true
Damon,4819108,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48039,brazoria-tx,Brazoria County,,,,1,brazoria-tx,false,true,true,true,true
Danbury,4819120,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48039,brazoria-tx,Brazoria County,,,,1,brazoria-tx,false,true,true,true,true
Darrouzett,4819288,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48295,lipscomb-tx,Lipscomb County,,,,1,lipscomb-tx,false,true,true,true,true
Dawson,4819420,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48349,navarro-tx,Navarro County,,,,1,navarro-tx,false,true,true,true,true
Dayton,4819432,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48291,liberty-tx,Liberty County,,,,1,liberty-tx,false,true,true,true,true
Dayton Lakes,4819435,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48291,liberty-tx,Liberty County,,,,1,liberty-tx,false,true,true,true,true
Dean,4819456,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48077,clay-tx,Clay County,,,,1,clay-tx,false,true,true,true,true
Deanville,4819492,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48051,burleson-tx,Burleson County,,,,1,burleson-tx,false,true,true,true,true
Decatur,4819528,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48497,wise-tx,Wise County,,,,1,wise-tx,false,true,true,true,true
DeCordova,4819570,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48221,hood-tx,Hood County,,,,1,hood-tx,false,true,true,true,true
Deer Park,4819624,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48201,harris-tx,Harris County,,,,1,harris-tx,false,true,true,true,true
Deerwood,4819632,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48339,montgomery-tx,Montgomery County,,,,1,montgomery-tx,false,true,true,true,true
De Kalb,4819648,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48037,bowie-tx,Bowie County,,,,1,bowie-tx,false,true,true,true,true
De Leon,4819672,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48093,comanche-tx,Comanche County,,,,1,comanche-tx,false,true,true,true,true
Dell City,4819708,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48229,hudspeth-tx,Hudspeth County,,,,1,hudspeth-tx,false,true,true,true,true
Del Mar Heights,4819714,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48061,cameron-tx,Cameron County,,,,1,cameron-tx,false,true,true,true,true
Delmita,4819732,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48427,starr-tx,Starr County,,,,1,starr-tx,false,true,true,true,true
Del Rio,4819792,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48465,val-verde-tx,Val Verde County,,,,1,val-verde-tx,false,true,true,true,true
Del Sol,4819808,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48409,san-patricio-tx,San Patricio County,,,,1,san-patricio-tx,false,true,true,true,true
Denison,4819900,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48181,grayson-tx,Grayson County,,,,1,grayson-tx,false,true,true,true,true
Dennis,4819924,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48367,parker-tx,Parker County,,,,1,parker-tx,false,true,true,true,true
Denton,4819972,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48121,denton-tx,Denton County,,,,1,denton-tx,false,true,true,true,true
Denver City,4819984,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,2,48165|48501,gaines-tx|yoakum-tx,Gaines County|Yoakum County,,,,2,gaines-tx|yoakum-tx,false,true,true,true,true
Deport,4820020,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,2,48277|48387,lamar-tx|red-river-tx,Lamar County|Red River County,,,,2,lamar-tx|red-river-tx,false,true,true,true,true
DeSoto,4820092,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48113,dallas-tx,Dallas County,,,,1,dallas-tx,false,true,true,true,true
Detroit,4820128,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48387,red-river-tx,Red River County,,,,1,red-river-tx,false,true,true,true,true
Devers,4820140,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48291,liberty-tx,Liberty County,,,,1,liberty-tx,false,true,true,true,true
Devine,4820152,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48325,medina-tx,Medina County,,,,1,medina-tx,false,true,true,true,true
Deweyville,4820212,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48351,newton-tx,Newton County,,,,1,newton-tx,false,true,true,true,true
D'Hanis,4820248,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48325,medina-tx,Medina County,,,,1,medina-tx,false,true,true,true,true
Diboll,4820308,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48005,angelina-tx,Angelina County,,,,1,angelina-tx,false,true,true,true,true
Dickens,4820332,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48125,dickens-tx,Dickens County,,,,1,dickens-tx,false,true,true,true,true
Dickinson,4820344,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48167,galveston-tx,Galveston County,,,,1,galveston-tx,false,true,true,true,true
Dilley,4820428,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48163,frio-tx,Frio County,,,,1,frio-tx,false,true,true,true,true
Dime Box,4820452,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48287,lee-tx,Lee County,,,,1,lee-tx,false,true,true,true,true
Dimmitt,4820464,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48069,castro-tx,Castro County,,,,1,castro-tx,false,true,true,true,true
DISH,4820540,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48121,denton-tx,Denton County,,,,1,denton-tx,false,true,true,true,true
Dodd City,4820680,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48147,fannin-tx,Fannin County,,,,1,fannin-tx,false,true,true,true,true
Dodson,4820716,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48087,collingsworth-tx,Collingsworth County,,,,1,collingsworth-tx,false,true,true,true,true
Doffing,4820734,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48215,hidalgo-tx,Hidalgo County,,,,1,hidalgo-tx,false,true,true,true,true
Domino,4820848,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48067,cass-tx,Cass County,,,,1,cass-tx,false,true,true,true,true
Donna,4820884,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48215,hidalgo-tx,Hidalgo County,,,,1,hidalgo-tx,false,true,true,true,true
Doolittle,4820926,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48215,hidalgo-tx,Hidalgo County,,,,1,hidalgo-tx,false,true,true,true,true
Dorchester,4820932,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48181,grayson-tx,Grayson County,,,,1,grayson-tx,false,true,true,true,true
Double Oak,4821028,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48121,denton-tx,Denton County,,,,1,denton-tx,false,true,true,true,true
Double Horn,4821031,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48053,burnet-tx,Burnet County,,,,1,burnet-tx,false,true,true,true,true
Douglassville,4821112,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48067,cass-tx,Cass County,,,,1,cass-tx,false,true,true,true,true
Driftwood,4821412,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48209,hays-tx,Hays County,,,,1,hays-tx,false,true,true,true,true
Dripping Springs,4821424,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48209,hays-tx,Hays County,,,,1,hays-tx,false,true,true,true,true
Driscoll,4821436,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48355,nueces-tx,Nueces County,,,,1,nueces-tx,false,true,true,true,true
Dublin,4821484,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48143,erath-tx,Erath County,,,,1,erath-tx,false,true,true,true,true
Dumas,4821556,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48341,moore-tx,Moore County,,,,1,moore-tx,false,true,true,true,true
Duncanville,4821628,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48113,dallas-tx,Dallas County,,,,1,dallas-tx,false,true,true,true,true
Eagle Lake,4821844,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48089,colorado-tx,Colorado County,,,,1,colorado-tx,false,true,true,true,true
Eagle Pass,4821892,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48323,maverick-tx,Maverick County,,,,1,maverick-tx,false,true,true,true,true
Early,4821904,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48049,brown-tx,Brown County,,,,1,brown-tx,false,true,true,true,true
Earth,4821928,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48279,lamb-tx,Lamb County,,,,1,lamb-tx,false,true,true,true,true
East Alto Bonito,4821958,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48427,starr-tx,Starr County,,,,1,starr-tx,false,true,true,true,true
East Bernard,4821988,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48481,wharton-tx,Wharton County,,,,1,wharton-tx,false,true,true,true,true
East Columbia,4822000,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48039,brazoria-tx,Brazoria County,,,,1,brazoria-tx,false,true,true,true,true
Eastland,4822132,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48133,eastland-tx,Eastland County,,,,1,eastland-tx,false,true,true,true,true
East Mountain,4822168,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,2,48183|48459,gregg-tx|upshur-tx,Gregg County|Upshur County,,,,2,gregg-tx|upshur-tx,false,true,true,true,true
Easton,4822192,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,2,48183|48401,gregg-tx|rusk-tx,Gregg County|Rusk County,,,,2,gregg-tx|rusk-tx,false,true,true,true,true
East Tawakoni,4822276,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48379,rains-tx,Rains County,,,,1,rains-tx,false,true,true,true,true
Ector,4822516,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48147,fannin-tx,Fannin County,,,,1,fannin-tx,false,true,true,true,true
Edcouch,4822528,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48215,hidalgo-tx,Hidalgo County,,,,1,hidalgo-tx,false,true,true,true,true
Eden,4822552,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48095,concho-tx,Concho County,,,,1,concho-tx,false,true,true,true,true
